term,positif_docs,negatif_docs,positif_rate,negatif_rate,dominant_label,lift
terbaik,18,0,0.05521472392638037,0.0,Positif,55214724.926380366
lezat,13,0,0.03987730061349693,0.0,Positif,39877301.61349693
mantap,3,0,0.009202453987730062,0.0,Positif,9202454.987730062
nikmat,1,0,0.003067484662576687,0.0,Positif,3067485.662576687
autentik,18,1,0.05521472392638037,0.0026954177897574125,Positif,20.484655347879983
enak,173,10,0.5306748466257669,0.026954177897574125,Positif,19.688036116489812
bagus,19,2,0.05828220858895705,0.005390835579514825,Positif,10.8113478732465
nyaman,54,10,0.1656441717791411,0.026954177897574125,Positif,6.145398582111847
ramah,37,9,0.11349693251533742,0.02425876010781671,Positif,4.678595622047912
direkomendasikan,10,3,0.03067484662576687,0.008086253369272238,Positif,3.793455687262483
manis,18,11,0.05521472392638037,0.029649595687331536,Positif,1.8622420233450296
kurang,12,9,0.03680981595092025,0.02425876010781671,Positif,1.517382391760283
pahit,10,12,0.03067484662576687,0.03234501347708895,Negatif,0.9483640097763717
biasa,5,8,0.015337423312883436,0.0215633423180593,Negatif,0.711273019524683
mahal,10,24,0.03067484662576687,0.0646900269541779,Negatif,0.47418201221824924
harga,10,28,0.03067484662576687,0.07547169811320754,Negatif,0.4064417256560582
kecewa,1,3,0.003067484662576687,0.008086253369272238,Negatif,0.37934568002623453
murah,1,4,0.003067484662576687,0.01078167115902965,Negatif,0.28450926881575306
tidak,23,187,0.0705521472392638,0.5040431266846361,Negatif,0.13997244355527858
harganya,2,21,0.006134969325153374,0.05660377358490566,Negatif,0.10838447382958391
lama,1,16,0.003067484662576687,0.0431266846361186,Negatif,0.07112732215173215
menunggu,0,14,0.0,0.03773584905660377,Negatif,2.6499999297750023e-08
buruk,0,19,0.0,0.05121293800539083,Negatif,1.9526315408196685e-08
antrean,0,19,0.0,0.05121293800539083,Negatif,1.9526315408196685e-08
